Transaction_ID,Customer_ID,Amount,Date,Payment_Method,Status
T100086,C3696,2372.44,06:12.8,Net Banking,Completed
T100087,C2496,1903.99,06:12.8,Debit Card,Completed
T100088,C1392,5655.22,06:12.8,Net Banking,Completed
T100089,C5515,1709.51,06:12.8,Wallet,Completed
T100090,C5475,4304.28,06:12.8,Debit Card,Completed
T100091,C4562,340.82,06:12.8,Wallet,Completed
T100092,C3279,1061.57,06:12.8,Wallet,Completed
T100093,C4100,2616.22,06:12.8,Credit Card,Completed
T100094,C1201,13819.08,06:12.8,UPI,Completed
T100095,C5876,2368.07,06:12.8,Net Banking,Completed
T100096,C4105,5454.32,06:12.8,Net Banking,Completed
T100097,C5599,1472.44,06:12.8,Credit Card,Completed
T100098,C3455,679.29,06:12.8,Net Banking,Completed
T100099,C4646,301.6,06:12.8,Credit Card,Completed
T100100,C1805,1822.19,06:12.8,Net Banking,Completed
T100101,C3732,857.86,06:12.8,Net Banking,Completed
T100102,C3774,955.87,06:12.8,Wallet,Completed
T100103,C2571,7151.43,06:12.8,Credit Card,Suspicious
T100104,C3691,79.82,06:12.8,Net Banking,Completed
T100105,C4841,4080.08,06:12.8,UPI,Completed
T100106,C2029,2385.84,06:12.8,Credit Card,Completed
T100107,C1503,3531.67,06:12.8,Credit Card,Completed
T100108,C5494,4137.17,06:12.8,Credit Card,Completed
T100109,C1871,1879.78,06:12.8,Wallet,Completed
T100110,C5489,1748.56,06:12.8,Credit Card,Suspicious
T100111,C1207,6610.06,06:12.8,Wallet,Completed
T100112,C2485,10250.46,06:12.8,UPI,Completed
T100113,C1864,1069.57,06:12.8,Debit Card,Completed
T100114,C3791,513.59,06:12.8,Wallet,Completed
T100115,C1564,11403.91,06:12.8,Net Banking,Completed
T100116,C5192,2153.11,06:12.8,Credit Card,Suspicious
T100117,C2758,4007.2,06:12.8,Debit Card,Completed
T100118,C2679,2227.87,06:12.8,Wallet,Suspicious
T100119,C4243,672.24,06:12.8,Net Banking,Completed
T100120,C5637,4449.85,06:12.8,Debit Card,Completed
T100121,C2060,3723.69,06:12.8,UPI,Completed
T100122,C2723,1134.46,06:12.8,Wallet,Completed
T100123,C4315,3006.21,06:12.8,Wallet,Completed
T100124,C4158,7971.45,06:12.8,UPI,Completed
T100125,C3626,4463.19,06:12.8,Wallet,Completed
T100126,C3730,509.71,06:12.8,Credit Card,Suspicious
T100127,C2598,3970.6,06:12.8,Wallet,Completed
T100128,C4061,6065.71,06:12.8,Credit Card,Completed
T100129,C3694,7868.02,06:12.8,Wallet,Completed
T100130,C5892,4959.35,06:12.8,Net Banking,Completed
T100131,C4628,828.26,06:12.8,Net Banking,Completed
T100132,C2364,6192.36,06:12.8,Debit Card,Completed
T100133,C2982,5655.81,06:12.8,Net Banking,Suspicious
T100134,C2664,123.65,06:12.8,UPI,Completed
T100135,C2530,2653,06:12.8,Debit Card,Completed
T100136,C3039,2024.45,06:12.8,Net Banking,Completed
T100137,C4303,5534.41,06:12.8,Credit Card,Completed
T100138,C3238,1217.6,06:12.8,Wallet,Completed
T100139,C2307,4468.64,06:12.8,Net Banking,Completed
T100140,C5030,12221.09,06:12.8,Credit Card,Completed
T100141,C3676,7992.55,06:12.8,Debit Card,Completed
T100142,C2283,12720.59,06:12.8,Wallet,Completed
T100143,C1710,19199.9,06:12.8,Net Banking,Completed
T100144,C5745,53.64,06:12.8,Debit Card,Suspicious
T100145,C5414,4874.12,06:12.8,Net Banking,Completed
T100146,C4749,2662.28,06:12.8,Debit Card,Completed
T100147,C5780,9825.37,06:12.8,Net Banking,Suspicious
T100148,C1664,1450.52,06:12.8,Credit Card,Completed
T100149,C2999,19824.35,06:12.8,UPI,Completed
T100150,C4446,4755.81,06:12.8,Credit Card,Completed
T100151,C4744,7888.18,06:12.8,Wallet,Completed
T100152,C2496,447.43,06:12.8,Net Banking,Completed
T100153,C4305,1013.38,06:12.8,UPI,Completed
T100154,C4764,7102.44,06:12.8,UPI,Completed
T100155,C2854,111.16,06:12.8,Wallet,Completed
T100156,C5660,8488.01,06:12.8,Wallet,Completed
T100157,C2292,70.24,06:12.8,UPI,Completed
T100158,C4582,5351.86,06:12.8,Wallet,Completed
T100159,C4458,2271.39,06:12.8,Wallet,Completed
T100160,C2637,4727.24,06:12.8,Net Banking,Completed
T100161,C4697,5954.15,06:12.8,Credit Card,Completed
T100162,C4000,2096.36,06:12.8,Debit Card,Completed
T100163,C4153,571.24,06:12.8,UPI,Completed
T100164,C1699,360.95,06:12.8,Debit Card,Suspicious
T100165,C3161,4445.03,06:12.8,UPI,Completed
T100166,C5098,3676.68,06:12.8,UPI,Completed
T100167,C5738,6777.88,06:12.8,Credit Card,Completed
T100168,C1855,3564.05,06:12.8,UPI,Completed
T100169,C4475,2744.76,06:12.8,UPI,Completed
T100170,C2708,2538.21,06:12.8,Credit Card,Completed
T100171,C3778,134.01,06:12.8,Wallet,Completed
T100172,C2734,2044.03,06:12.8,Debit Card,Completed
T100173,C5932,18652.71,06:12.8,UPI,Completed
T100174,C4511,10339.76,06:12.8,Credit Card,Completed
T100175,C1203,1997.75,06:12.8,UPI,Completed
T100176,C4256,4431.18,06:12.8,Credit Card,Completed
T100177,C5219,9396.29,06:12.8,Debit Card,Completed
T100178,C5497,2910.48,06:12.8,Net Banking,Completed
T100179,C1767,90.61,06:12.8,Wallet,Completed
T100180,C5390,387.16,06:12.8,Net Banking,Suspicious
T100181,C3328,3570.76,06:12.8,Credit Card,Completed
T100182,C3932,17440.21,06:12.8,UPI,Completed
T100183,C1198,5907.95,06:12.8,Wallet,Completed
T100184,C2931,367.78,06:12.8,Debit Card,Completed
T100185,C4583,1049.66,06:12.8,Wallet,Completed
T100186,C1609,7377.23,06:12.8,UPI,Completed
T100187,C4273,9208.1,06:12.8,Net Banking,Completed
T100188,C2148,4807.68,06:12.8,Credit Card,Completed
T100189,C5283,5170.07,06:12.8,Net Banking,Completed
T100190,C4398,143.73,06:12.8,Wallet,Completed
T100191,C3512,8816.74,06:12.8,UPI,Completed
T100192,C2795,7762.34,06:12.8,Credit Card,Completed
T100193,C1660,1499.01,06:12.8,UPI,Suspicious
T100194,C3812,6166.61,06:12.8,UPI,Completed
T100195,C2370,1209.43,06:12.8,Wallet,Completed
T100196,C2987,205.83,06:12.8,Net Banking,Completed
T100197,C1147,1122.83,06:12.8,UPI,Completed
T100198,C4220,983.9,06:12.8,UPI,Completed
T100199,C3912,2060.55,06:12.8,UPI,Completed
T100200,C2735,2710.29,06:12.8,Credit Card,Completed
T100201,C2844,3551.86,06:12.8,UPI,Completed
T100202,C1489,3238.52,06:12.8,UPI,Completed
T100203,C3977,1578.18,06:12.8,Wallet,Completed
T100204,C2960,148.02,06:12.8,UPI,Completed
T100205,C3386,4645.63,06:12.8,UPI,Completed
T100206,C3920,2518.79,06:12.8,Wallet,Completed
T100207,C5737,1773.9,06:12.8,Credit Card,Completed
T100208,C2803,10084.81,06:12.8,Net Banking,Completed
T100209,C5062,6866.76,06:12.8,Wallet,Completed
T100210,C4370,9751.39,06:12.8,Credit Card,Completed
T100211,C1263,3415.81,06:12.8,Net Banking,Completed
T100212,C1624,701.67,06:12.8,UPI,Completed
T100213,C2017,5957.28,06:12.8,Wallet,Completed
T100214,C4644,1153.82,06:12.8,UPI,Completed
T100215,C5977,2910.08,06:12.8,Wallet,Completed
T100216,C3050,336.05,06:12.8,Net Banking,Completed
T100217,C4724,8723.67,06:12.8,Credit Card,Completed
T100218,C5549,673.03,06:12.8,Wallet,Completed
T100219,C4109,11670.25,06:12.8,Credit Card,Suspicious
T100220,C5091,9983.99,06:12.8,UPI,Completed
T100221,C3057,3123.54,06:12.8,UPI,Completed
T100222,C4171,6820.09,06:12.8,Net Banking,Completed
T100223,C2683,4830.62,06:12.8,Net Banking,Completed
T100224,C3256,8124.68,06:12.8,Debit Card,Completed
T100225,C2155,2826.45,06:12.8,Debit Card,Completed
T100226,C5500,7704.42,06:12.8,Net Banking,Completed
T100227,C4192,3103.73,06:12.8,UPI,Completed
T100228,C2697,14148.19,06:12.8,Credit Card,Completed
T100229,C4992,3331.28,06:12.8,Net Banking,Completed
T100230,C5724,3105.24,06:12.8,Credit Card,Completed
T100231,C5683,7687.26,06:12.8,Debit Card,Completed
T100232,C2649,8618.01,06:12.8,Credit Card,Completed
T100233,C2446,4042.67,06:12.8,Net Banking,Completed
T100234,C5200,991.02,06:12.8,UPI,Completed
T100235,C4924,3153.29,06:12.8,Net Banking,Completed
T100236,C1254,17221.44,06:12.8,Wallet,Completed
T100237,C4184,6991.56,06:12.8,Wallet,Completed
T100238,C3558,8334.34,06:12.8,Wallet,Completed
T100239,C1099,166.88,06:12.8,UPI,Completed
T100240,C3201,3154.24,06:12.8,Net Banking,Completed
T100241,C3962,5201.07,06:12.8,Wallet,Completed
T100242,C5974,8860.75,06:12.8,Net Banking,Completed
T100243,C5434,252.65,06:12.8,Debit Card,Completed
T100244,C4778,9567.56,06:12.8,Wallet,Completed
T100245,C3870,3974.8,06:12.8,Wallet,Completed
T100246,C4235,1098.96,06:12.8,UPI,Completed
T100247,C4792,1908.17,06:12.8,Net Banking,Completed
T100248,C1957,1655.94,06:12.8,UPI,Completed
T100249,C5068,3784.26,06:12.8,UPI,Completed
T100250,C1161,265.35,06:12.8,Net Banking,Completed
T100251,C5494,863.06,06:12.8,Debit Card,Completed
T100252,C2301,8375.03,06:12.8,Net Banking,Completed
T100253,C5912,711.3,06:12.8,Debit Card,Suspicious
T100254,C4988,1328.93,06:12.8,UPI,Completed
T100255,C2528,3019.92,06:12.8,Debit Card,Completed
T100256,C2219,3639.94,06:12.8,Debit Card,Completed
T100257,C5497,7211.37,06:12.8,Debit Card,Completed
T100258,C5736,2964.99,06:12.8,Wallet,Completed
T100259,C4105,7800.02,06:12.8,Wallet,Completed
T100260,C3736,4816.21,06:12.8,UPI,Completed
T100261,C5556,600.11,06:12.8,Net Banking,Completed
T100262,C1955,849.98,06:12.8,Debit Card,Completed
T100263,C5566,2872.68,06:12.8,Wallet,Completed
T100264,C4447,2528.27,06:12.8,Net Banking,Suspicious
T100265,C2046,6804,06:12.8,Debit Card,Completed
T100266,C2694,4346.29,06:12.8,Net Banking,Completed
T100267,C4437,2456.2,06:12.8,Credit Card,Completed
T100268,C1563,936.23,06:12.8,Debit Card,Completed
T100269,C3486,1286.33,06:12.8,Net Banking,Completed
T100270,C4355,4284.23,06:12.8,Debit Card,Suspicious
T100271,C1226,2753.37,06:12.8,Debit Card,Completed
T100272,C5894,3617.28,06:12.8,Credit Card,Completed
T100273,C1960,935.73,06:12.8,Net Banking,Suspicious
T100274,C5549,5436.97,06:12.8,UPI,Completed
T100275,C4068,9570.95,06:12.8,Wallet,Completed
T100276,C1816,1491.62,06:12.8,Debit Card,Suspicious
T100277,C5755,3381.59,06:12.8,Debit Card,Completed
T100278,C5643,18550.99,06:12.8,Debit Card,Completed
T100279,C4121,2026.64,06:12.8,Debit Card,Completed
T100280,C1017,4519.91,06:12.8,Wallet,Completed
T100281,C2244,472.63,06:12.8,UPI,Completed
T100282,C3206,4657.21,06:12.8,Credit Card,Completed
T100283,C3525,469.53,06:12.8,UPI,Completed
T100284,C2070,15999.71,06:12.8,Wallet,Completed
T100285,C4445,6287.97,06:12.8,Net Banking,Completed
T100286,C3566,7759.62,06:12.8,Credit Card,Completed
T100287,C2061,6088.74,06:12.8,Credit Card,Completed
T100288,C3328,4454.69,06:12.8,Net Banking,Completed
T100289,C4421,2988.39,06:12.8,Debit Card,Completed
T100290,C1302,9772.81,06:12.8,Wallet,Completed
T100291,C5277,15713.7,06:12.8,Net Banking,Completed
T100292,C1607,3456.11,06:12.8,UPI,Completed
T100293,C4171,13407.17,06:12.8,UPI,Completed
T100294,C1700,4377.34,06:12.8,Net Banking,Completed
T100295,C2140,3865.11,06:12.8,Wallet,Completed
T100296,C1191,3030.1,06:12.8,Credit Card,Completed
T100297,C3301,1174.11,06:12.8,Credit Card,Completed
T100298,C1981,18.63,06:12.8,Debit Card,Completed
T100299,C3976,1382.1,06:12.8,Wallet,Completed
T100300,C2185,3563.93,06:12.8,UPI,Completed
T100301,C4328,2389.86,06:12.8,UPI,Completed
T100302,C4395,2975.43,06:12.8,Debit Card,Completed
T100303,C1128,19724.85,06:12.8,UPI,Completed
T100304,C3066,2156.01,06:12.8,Debit Card,Completed
T100305,C2817,3009.07,06:12.8,Debit Card,Completed
T100306,C1570,716.56,06:12.8,Net Banking,Completed
T100307,C2896,245.73,06:12.8,Credit Card,Completed
T100308,C3734,7467.38,06:12.8,Wallet,Completed
T100309,C4864,4227.8,06:12.8,Wallet,Completed
T100310,C5722,7150.29,06:12.8,Credit Card,Completed
T100311,C5015,811.79,06:12.8,Wallet,Completed
T100312,C3902,4241.16,06:12.8,UPI,Completed
T100313,C2687,1462.75,06:12.8,UPI,Completed
T100314,C4010,1294.25,06:12.8,Wallet,Completed
T100315,C1155,57.96,06:12.8,Net Banking,Completed
T100316,C3538,698.27,06:12.8,Wallet,Completed
T100317,C2410,1850.02,06:12.8,Debit Card,Completed
T100318,C5058,621.46,06:12.8,Debit Card,Completed
T100319,C1785,21293.19,06:12.8,Credit Card,Suspicious
T100320,C4176,1845.42,06:12.8,UPI,Completed
T100321,C5342,698.17,06:12.8,Net Banking,Completed
T100322,C3807,1109.99,06:12.8,Wallet,Completed
T100323,C1538,4430.06,06:12.8,Debit Card,Completed
T100324,C2842,330.93,06:12.8,UPI,Completed
T100325,C3456,9918.26,06:12.8,UPI,Completed
T100326,C1525,16285.44,06:12.8,Net Banking,Completed
T100327,C3951,1416.77,06:12.8,Net Banking,Completed
T100328,C5132,2990.05,06:12.8,Net Banking,Completed
T100329,C5781,111.92,06:12.8,Net Banking,Completed
T100330,C5116,5118.13,06:12.8,Debit Card,Completed
T100331,C3369,2671.55,06:12.8,Net Banking,Completed
T100332,C4848,1573.95,06:12.8,UPI,Completed
T100333,C5496,1158.63,06:12.8,UPI,Completed
T100334,C3702,5306.92,06:12.8,Wallet,Completed
T100335,C1972,2691.13,06:12.8,UPI,Completed
T100336,C2167,990.18,06:12.8,UPI,Completed
T100337,C5930,5841.57,06:12.8,Debit Card,Completed
T100338,C3775,4162.88,06:12.8,UPI,Completed
T100339,C2983,9783.36,06:12.8,Credit Card,Completed
T100340,C1854,624.85,06:12.8,UPI,Completed
T100341,C5147,7701.11,06:12.8,Wallet,Completed
T100342,C4737,5596.88,06:12.8,Wallet,Completed
T100343,C4770,610.9,06:12.8,Net Banking,Completed
T100344,C1575,5934.28,06:12.8,Debit Card,Completed
T100345,C4262,2912.93,06:12.8,Wallet,Completed
T100346,C2149,14500.73,06:12.8,Credit Card,Suspicious
T100347,C2716,763.49,06:12.8,Credit Card,Suspicious
T100348,C5778,5147.76,06:12.8,Net Banking,Completed
T100349,C5934,2406.17,06:12.8,Debit Card,Completed
T100350,C4855,15711.27,06:12.8,Debit Card,Completed
T100351,C3492,2002.2,06:12.8,UPI,Suspicious
T100352,C3661,16375.37,06:12.8,Credit Card,Completed
T100353,C4125,11587.78,06:12.8,Credit Card,Completed
T100354,C4052,1576.18,06:12.8,Credit Card,Completed
T100355,C1005,8136.53,06:12.8,Credit Card,Completed
T100356,C5870,27135.53,06:12.8,Wallet,Suspicious
T100357,C1877,1456.2,06:12.8,Debit Card,Completed
T100358,C1992,2870.4,06:12.8,UPI,Completed
T100359,C5143,3671.73,06:12.8,Wallet,Completed
T100360,C5365,1747.3,06:12.8,Debit Card,Completed
T100361,C5466,76.91,06:12.8,Net Banking,Completed
T100362,C1636,1243.14,06:12.8,Credit Card,Completed
T100363,C2694,1655.99,06:12.8,UPI,Completed
T100364,C2683,2931.34,06:12.8,Debit Card,Completed
T100365,C5753,938.29,06:12.8,Net Banking,Completed
T100366,C1120,10327.87,06:12.8,Credit Card,Completed
T100367,C1831,6102.39,06:12.8,Net Banking,Completed
T100368,C4676,445.25,06:12.8,Net Banking,Suspicious
T100369,C2370,5250.43,06:12.8,Wallet,Completed
T100370,C1741,5301.62,06:12.8,Net Banking,Completed
T100371,C1117,15643.02,06:12.8,Wallet,Completed
T100372,C3839,15.13,06:12.8,Wallet,Completed
T100373,C2151,1424.65,06:12.8,Net Banking,Completed
T100374,C2932,13140.99,06:12.8,Debit Card,Suspicious
T100375,C2013,13451.09,06:12.8,Net Banking,Completed
T100376,C2665,6375.31,06:12.8,Net Banking,Completed
T100377,C2082,7257.12,06:12.8,Debit Card,Completed
T100378,C5730,479.71,06:12.8,Credit Card,Suspicious
T100379,C1513,3606.46,06:12.8,UPI,Completed
T100380,C3850,1317.11,06:12.8,Credit Card,Completed
T100381,C1560,999.69,06:12.8,Net Banking,Completed
T100382,C4673,8311.64,06:12.8,Credit Card,Completed
T100383,C5584,725.35,06:12.8,UPI,Completed
T100384,C5993,3161.69,06:12.8,Credit Card,Completed
T100385,C4344,13949.96,06:12.8,UPI,Completed
T100386,C5071,1027.94,06:12.8,Credit Card,Completed
T100387,C5800,19082.07,06:12.8,Wallet,Completed
T100388,C2471,25825.92,06:12.8,Net Banking,Suspicious
T100389,C1581,4055.34,06:12.8,UPI,Completed
T100390,C3295,932.51,06:12.8,Net Banking,Completed
T100391,C4148,1899.75,06:12.8,Wallet,Completed
T100392,C5250,2762.52,06:12.8,Credit Card,Completed
T100393,C2680,1850.42,06:12.8,Net Banking,Completed
T100394,C4507,1646.94,06:12.8,Credit Card,Completed
T100395,C3745,17918.94,06:12.8,Credit Card,Completed
T100396,C4357,832.43,06:12.8,Net Banking,Completed
T100397,C5046,6608.68,06:12.8,UPI,Completed
T100398,C2244,2.05,06:12.8,UPI,Completed
T100399,C4119,4533.96,06:12.8,Net Banking,Completed
T100400,C3142,12381.3,06:12.8,UPI,Completed
T100401,C4060,1697.92,06:12.8,Debit Card,Completed
T100402,C5549,1026.06,06:12.8,Credit Card,Completed
T100403,C3960,5273.17,06:12.8,Net Banking,Completed
T100404,C3266,6234.43,06:12.8,Wallet,Completed
T100405,C3480,5824.25,06:12.8,Net Banking,Completed
T100406,C5647,1923.29,06:12.8,Net Banking,Completed
T100407,C2636,1453.11,06:12.8,Credit Card,Completed
T100408,C2758,15608.61,06:12.8,Wallet,Completed
T100409,C5453,12839.24,06:12.8,Credit Card,Completed
T100410,C3071,3056.15,06:12.8,UPI,Completed
T100411,C3850,9360.31,06:12.8,Net Banking,Completed
T100412,C4252,3010.35,06:12.8,Credit Card,Completed
T100413,C4731,2761.62,06:12.8,Debit Card,Completed
T100414,C3490,852.54,06:12.8,Net Banking,Completed
T100415,C2632,2779.17,06:12.8,UPI,Completed
T100416,C3817,3854.65,06:12.8,Credit Card,Completed
T100417,C2016,113.81,06:12.8,Credit Card,Completed
T100418,C2349,2935.95,06:12.8,Debit Card,Completed
T100419,C5612,7601.56,06:12.8,UPI,Completed
T100420,C4088,5697.89,06:12.8,Debit Card,Completed
T100421,C3840,5041.44,06:12.8,Net Banking,Completed
T100422,C1336,12015.09,06:12.8,Wallet,Completed
T100423,C5593,90.98,06:12.8,Credit Card,Completed
T100424,C1896,4071.46,06:12.8,Debit Card,Completed
T100425,C4547,7740.51,06:12.8,Credit Card,Completed
T100426,C1852,3897.18,06:12.8,Credit Card,Completed
T100427,C2688,1957.04,06:12.8,Debit Card,Completed
T100428,C2932,732.36,06:12.8,Credit Card,Completed
T100429,C4747,10926.81,06:12.8,UPI,Completed
T100430,C3428,3181.59,06:12.8,UPI,Completed
T100431,C2569,10523.39,06:12.8,Wallet,Completed
T100432,C5001,4407.66,06:12.8,UPI,Completed
T100433,C3739,5607.24,06:12.8,Debit Card,Completed
T100434,C4499,8154.87,06:12.8,UPI,Completed
T100435,C4914,5381.65,06:12.8,Wallet,Completed
T100436,C2067,2537.94,06:12.8,Net Banking,Completed
T100437,C5381,3603.96,06:12.8,Net Banking,Completed
T100438,C3445,8123.91,06:12.8,Debit Card,Completed
T100439,C5108,2339.23,06:12.8,Wallet,Suspicious
T100440,C4374,2456.11,06:12.8,UPI,Completed
T100441,C4970,502.92,06:12.8,Wallet,Completed
T100442,C3547,12301.13,06:12.8,Credit Card,Completed
T100443,C1754,477.25,06:12.8,Wallet,Completed
T100444,C3083,5223.59,06:12.8,UPI,Completed
T100445,C3775,2665.31,06:12.8,Debit Card,Completed
T100446,C3897,2601.18,06:12.8,Credit Card,Completed
T100447,C5186,5690.17,06:12.8,Wallet,Completed
T100448,C1776,347.25,06:12.8,Net Banking,Completed
T100449,C2626,4503.39,06:12.8,UPI,Completed
T100450,C4070,7392.75,06:12.8,Debit Card,Completed
T100451,C1418,8807.49,06:12.8,UPI,Completed
T100452,C1115,934.84,06:12.8,Wallet,Completed
T100453,C1617,11385.52,06:12.8,Debit Card,Completed
T100454,C4975,5337.69,06:12.8,Net Banking,Completed
T100455,C4268,10679.2,06:12.8,Credit Card,Completed
T100456,C1826,3320.67,06:12.8,Wallet,Completed
T100457,C2517,3904.79,06:12.8,Debit Card,Completed
T100458,C4147,12568.89,06:12.8,Credit Card,Completed
T100459,C1413,11508.4,06:12.8,Debit Card,Completed
T100460,C1729,2972.49,06:12.8,Wallet,Completed
T100461,C4349,1603.87,06:12.8,Debit Card,Suspicious
T100462,C3809,2497.54,06:12.8,Net Banking,Completed
T100463,C1676,2453.19,06:12.8,Debit Card,Completed
T100464,C4466,1690.44,06:12.8,Wallet,Completed
T100465,C3505,1563.83,06:12.8,Debit Card,Completed
T100466,C3968,9868.67,06:12.8,Credit Card,Completed
T100467,C3787,362.11,06:12.8,Credit Card,Completed
T100468,C2123,5659.98,06:12.8,UPI,Completed
T100469,C5080,948.67,06:12.8,UPI,Completed
T100470,C2572,2111.83,06:12.8,Net Banking,Completed
T100471,C3144,317.59,06:12.8,Credit Card,Completed
T100472,C2688,1573.37,06:12.8,UPI,Completed
T100473,C5133,7314.17,06:12.8,Debit Card,Completed
T100474,C4852,10814.78,06:12.8,Net Banking,Completed
T100475,C4441,1252.11,06:12.8,Wallet,Completed
T100476,C4767,3113.89,06:12.8,UPI,Completed
T100477,C3327,3177.45,06:12.8,UPI,Completed
T100478,C3915,10340.54,06:12.8,Credit Card,Completed
T100479,C5969,7194.24,06:12.8,Net Banking,Completed
T100480,C4953,3598.25,06:12.8,Credit Card,Completed
T100481,C1596,5554.65,06:12.8,Credit Card,Completed
T100482,C1729,9398.2,06:12.8,Net Banking,Completed
T100483,C2366,47.92,06:12.8,Debit Card,Completed
T100484,C5493,2578.27,06:12.8,UPI,Completed
T100485,C1699,11888.87,06:12.8,Credit Card,Completed
T100486,C1396,6741.39,06:12.8,UPI,Completed
T100487,C5172,3913.62,06:12.8,Net Banking,Completed
T100488,C5361,3771.33,06:12.8,Debit Card,Completed
T100489,C3503,2136.79,06:12.8,Wallet,Completed
T100490,C2820,3675.27,06:12.8,Debit Card,Completed
T100491,C1718,5326.61,06:12.8,Net Banking,Completed
